ID del cliente,Nombre,Última fecha de compra,Frecuencia de compra,Valor promedio de la compra,Categoría de productos comprados,Método de pago,Edad,Total neto
1,Juan Perez,15/03/2022,5,200.5,Ropa,Tarjeta de crédito,32.0,1002.5
2,Ana Rodriguez,01/04/2022,2,80.0,Juguetes,Efectivo,45.0,160.0
3,Luisa Hernandez,10/12/2021,3,150.2,Electrónica,Transferencia bancaria,28.0,450.59999999999997
4,Carlos Garcia,28/02/2022,1,300.0,Alimentos,Tarjeta de crédito,50.0,300.0
5,Maria Gomez,20/03/2022,4,75.8,Ropa,Efectivo,22.0,303.2
6,Daniel Torres,12/04/2022,2,120.4,Electrónica,Tarjeta de crédito,36.0,240.8
7,Lucia Diaz,29/03/2022,3,100.0,Juguetes,Transferencia bancaria,42.0,300.0
8,Pedro Lopez,30/11/2021,1,50.0,Alimentos,Efectivo,29.0,50.0
9,Sofia Gonzalez,15/01/2022,2,90.3,Ropa,Tarjeta de crédito,80.0,180.6
10,Andres Suarez,20/04/2022,4,60.5,Juguetes,Efectivo,25.0,242.0
11,Laura Castro,10/03/2022,3,170.2,Electrónica,Tarjeta de crédito,27.0,510.59999999999997
12,Oscar Ramirez,15/02/2022,1,280.0,Alimentos,Transferencia bancaria,47.0,280.0
13,Ana Maria Vega,05/01/2022,2,120.8,Ropa,Efectivo,38.0,241.6
14,Luis Torres,18/04/2022,5,90.0,Juguetes,Tarjeta de crédito,23.0,450.0
15,Andrea Medina,23/03/2022,3,110.5,Electrónica,Transferencia bancaria,26.0,331.5
16,Juan Carlos,10/04/2022,2,65.2,Alimentos,Efectivo,33.0,130.4
19,Ana Karenina,03/04/2022,2,95.2,Juguetes,Transferencia bancaria,30.0,190.4
20,Diego Sanchez,20/02/2022,1,180.0,Electrónica,Efectivo,48.0,180.0
21,Natalia Gomez,20/03/2022,3,75.8,Alimentos,Tarjeta de crédito,22.0,227.39999999999998
22,Luisa Perez,13/04/2022,2,105.9,Ropa,Efectivo,37.0,211.8
23,Carlos Rodriguez,31/03/2022,4,65.5,Juguetes,Transferencia bancaria,28.0,262.0
24,Maria Lopez,31/01/2022,1,220.0,Electrónica,Tarjeta de crédito,54.0,220.0
25,Javier Gonzalez,21/04/2022,3,140.3,Alimentos,Transferencia bancaria,34.0,420.90000000000003
26,Sofia Torres,11/03/2022,2,80.2,Ropa,Efectivo,31.0,160.4
27,Andres Flores,20/04/2022,4,75.6,Juguetes,Tarjeta de crédito,26.0,302.4
28,Laura Martinez,10/03/2022,3,200.1,Electrónica,Transferencia bancaria,27.0,600.3
